DIP-42E DIP-617N 
DIP-172E DIP-493N DIP-147N 
DIP-214E DIP-582N DIP-472N 
DIP-320E DIP-1078N DIP-51N 
DIP-401E DIP-189N DIP-199N 
DIP-447E DIP-480N DIP-119N 
DIP-479E DIP-1048N DIP-743N 
DIP-15E DIP-704N DIP-425N 
DIP-72E DIP-391N DIP-400N 
DIP-76E DIP-53N DIP-953N 
DIP-77E DIP-169N DIP-953N 
DIP-438E DIP-1074N DIP-368N 
DIP-10E DIP-257N DIP-150N 
DIP-11E DIP-331N DIP-952N 
DIP-12E DIP-327N DIP-74N 
DIP-14E DIP-74N DIP-704N 
DIP-17E DIP-163N DIP-713N 
DIP-20E DIP-681N DIP-150N 
DIP-25E DIP-182N DIP-1042N 
DIP-29E DIP-785N DIP-372N 
DIP-30E DIP-383N DIP-674N 
DIP-31E DIP-383N DIP-538N 
DIP-32E DIP-155N DIP-459N 
DIP-35E DIP-908N DIP-459N 
DIP-43E DIP-704N 
DIP-54E DIP-1030N DIP-90N 
DIP-57E DIP-58N DIP-1081N 
DIP-64E DIP-1043N 
DIP-65E DIP-1043N DIP-232N 
DIP-71E DIP-31N DIP-400N 
DIP-78E DIP-285N DIP-407N 
DIP-79E DIP-468N DIP-407N 
DIP-82E DIP-406N DIP-451N 
DIP-83E DIP-346N DIP-451N 
DIP-86E DIP-450N DIP-29229N 
DIP-88E DIP-175N DIP-474N 
DIP-89E DIP-483N DIP-950N 
DIP-90E DIP-950N DIP-175N 
DIP-91E DIP-950N DIP-268N 
DIP-95E DIP-403N DIP-229N 
DIP-96E DIP-403N DIP-664N 
DIP-97E DIP-295N DIP-253N 
DIP-98E DIP-1037N DIP-879N 
DIP-102E DIP-235N DIP-1057N 
DIP-114E DIP-22N DIP-267N 
DIP-116E DIP-331N DIP-987N 
DIP-117E DIP-263N DIP-987N 
DIP-119E DIP-268N DIP-38N 
DIP-120E DIP-392N DIP-368N 
DIP-121E DIP-226N DIP-977N 
DIP-122E DIP-51N DIP-977N 
DIP-131E DIP-790N DIP-87N 
DIP-132E DIP-114N DIP-370N 
DIP-148E DIP-496N 
DIP-149E DIP-496N DIP-420N 
DIP-150E DIP-435N DIP-420N 
DIP-151E DIP-421N DIP-493N 
DIP-152E DIP-922N DIP-493N 
DIP-155E DIP-839N DIP-1078N 
DIP-156E DIP-1078N DIP-147N 
DIP-171E DIP-1021N DIP-1020N 
DIP-173E DIP-493N DIP-435N 
DIP-174E DIP-496N DIP-493N 
DIP-175E DIP-1078N DIP-493N 
DIP-176E DIP-493N DIP-717N 
DIP-178E DIP-773N DIP-435N 
DIP-179E DIP-1077N DIP-435N 
DIP-181E DIP-1078N DIP-269N 
DIP-188E DIP-36N DIP-1077N 
DIP-189E DIP-150N DIP-1077N 
