DIP-9N YDL159W 
DIP-99N YLL021W 
DIP-999N YOR341W 
DIP-998N YOR275C 
DIP-997N YOR207C 
DIP-996N YOR191W 
DIP-995N YOR076C 
DIP-994N YOR011W 
DIP-993N YPL146C 
DIP-992N YLR153C 
DIP-991N YLR116W 
DIP-990N YLR090W 
DIP-989N YLR017W 
DIP-988N YLL014W 
DIP-986N YGR290W 
DIP-985N YGR162W 
DIP-984N YGR056W 
DIP-983N YGL202W 
DIP-982N YGL116W 
DIP-981N YGL112C 
DIP-980N YGL096W 
DIP-97N YLR240W 
DIP-979N YGL048C 
DIP-978N YGL013C 
DIP-976N YNR053C 
DIP-975N YNR016C 
DIP-974N YNL271C 
DIP-973N YNL243W 
DIP-972N YNL227C 
DIP-971N YNL187W 
DIP-970N YNL172W 
DIP-969N YNL118C 
DIP-968N YNL036W 
DIP-967N YNL023C 
DIP-965N YNL050C 
DIP-964N YNL039W 
DIP-963N YOR181W 
DIP-962N YNR034W 
DIP-961N YPL105C 
DIP-960N YPL231W 
DIP-959N YDR207C 
DIP-958N YOL136C 
DIP-957N YDL161W 
DIP-956N YDL178W 
DIP-955N YPL254W 
DIP-954N YOR212W 
DIP-944N YDR228C 
DIP-943N YDR218C 
DIP-942N YLR456W 
DIP-941N YLR440C 
DIP-940N YLR439W 
DIP-939N YLR127C 
DIP-938N YNL126W 
DIP-937N YOL005C 
DIP-936N YHR143W-A 
DIP-934N YPR190C 
DIP-933N YOL148C 
DIP-932N YLR067C 
DIP-931N YGR158C 
DIP-930N YOR319W 
DIP-925N YMR236W 
DIP-923N YPR018W 
DIP-921N YOL091W 
DIP-918N YJR075W 
DIP-917N YJR066W 
DIP-916N YJR033C 
DIP-915N YJR005W 
DIP-914N YJL183W 
DIP-913N YJL061W 
DIP-912N YFR039C 
DIP-911N YFR034C 
DIP-910N YMR240C 
DIP-909N YLR449W 
DIP-906N YDR270W 
DIP-905N YLR223C 
DIP-903N YJR022W 
DIP-902N YJL146W 
DIP-901N YNL148C 
DIP-9004N YNL054W-B 
DIP-9002N YDR261W-A 
DIP-9001N YOR092W 
DIP-8996N YIL082W 
DIP-8992N YGR225W 
DIP-896N YOR023C 
DIP-8968N YPR021C 
DIP-8966N YOR013W 
DIP-8961N YLR018C 
DIP-895N YOR017W 
DIP-8958N YOR083W 
DIP-8957N YPL257W-B 
DIP-8956N YDL199C 
DIP-8953N YOR130C 
DIP-8952N YLL061W 
DIP-8950N YLL003W 
DIP-894N YMR285C 
DIP-8949N YDL035C 
DIP-8946N YPL249C 
DIP-8945N YDR262W 
DIP-8940N YDL180W 
DIP-893N YMR117C 
DIP-8936N YOL103W-B 
DIP-8933N YBL100W-A 
DIP-8930N YPL144W 
DIP-892N YDR245W 
DIP-8921N YLR057W 
DIP-891N YMR261C 
DIP-8916N YBR012W-B 
DIP-8914N YOR342C 
DIP-8912N YLL056C 
DIP-890N YMR092C 
DIP-8900N YER060W-A 
DIP-88N YBR237W 
DIP-889N YMR089C 
DIP-888N YMR088C 
DIP-8889N YPL069C 
DIP-8888N YPL250C 
DIP-8887N YPL162C 
DIP-887N YDR045C 
DIP-8874N YPL274W 
DIP-8871N YPL267W 
DIP-8870N YPL264C 
DIP-886N YML115C 
DIP-8868N YPL189W 
DIP-885N YGR203W 
DIP-8852N YOL055C 
DIP-8850N YOL013C 
DIP-8847N YLR007W 
DIP-8846N YLR004C 
DIP-8843N YLL005C 
DIP-8842N YLL002W 
DIP-8840N YDR261W-B 
DIP-883N YCR077C 
DIP-8825N YPR128C 
DIP-8823N YDR367W 
DIP-881N YLR430W 
DIP-8816N YLR348C 
DIP-8813N YLR390W 
DIP-880N YLR319C 
DIP-8809N YLR360W 
DIP-8807N YDR284C 
DIP-8799N YDR170W-A 
DIP-8795N YDR165W 
DIP-8791N YER160C 
DIP-8790N YER138C 
DIP-8787N YDR492W 
DIP-8781N YDR466W 
DIP-877N YMR009W 
DIP-8776N YPL134C 
DIP-8774N YPL110C 
DIP-876N YMR044W 
DIP-8755N YJL196C 
DIP-8754N YDR363W-A 
DIP-8753N YCL004W 
DIP-874N YMR065W 
DIP-8741N YAL064W-B 
